Book Name;ISBN;Price (EUR);Original Price;Original Currency;Available
Соучастники. Почему российская элита выбрала войну;N/A;25,00;25,00;EUR;Yes
50;N/A;32,00;32,00;EUR;Yes
Альма. Свобода;978-5-00167-722-2;19,00;19,00;EUR;Yes
Альма. Ветер крепчает;978-5-00167-550-1;19,00;19,00;EUR;Yes
Zoom. Карантинная история;978-5-907514-12-6;17,00;17,00;EUR;Yes
Трилогия о докторе Гарине;N/A;45,00;45,00;EUR;No
Ныряльщик из Пестума. Юность, эрос и море в Древней Греции;978-5-91103-701-7;13,50;13,50;EUR;No
Дух и зубы (Сочинения, том I);978-5-6043581-2-2;15,00;15,00;EUR;No
Теллурия;978-5-17-104270-7;20,00;20,00;EUR;No
Тридцатая любовь Марины;978-5-17-091021-2;19,00;19,00;EUR;No
Лего;978-1-965369-31-9;29,00;29,00;EUR;Yes
Запечатлённое время;978-88-903301-5-5;70,00;70,00;EUR;Yes
У нас в Ереване;978-9939-9285-3-1;21,00;21,00;EUR;No
Москва—Синьцзин. Роман с расшифровкой;979-8--99028162-2;24,00;24,00;EUR;Yes
Ледяная трилогия;978-5-17-091622-1;24,00;24,00;EUR;No
День опричника;978-5-17-102448-2;18,00;18,00;EUR;Yes
Голубое сало;978-5-17-104568-5;20,00;20,00;EUR;No
Сахарный Кремль;978-5-17-103443-6;19,00;19,00;EUR;Yes
Берлинский боксёрский клуб;978-5-4370-0238-4;17,00;17,00;EUR;Yes
Койот Санрайз. Невероятная гонка на школьном автобусе;978-5-4370-0361-9;20,00;20,00;EUR;Yes
Архитектура Дома Наркомфина вчера и сегодня (1-е изд.);978-5-6049359-2-7;24,00;24,00;EUR;Yes
Возвращение (альбом);978-5-901053-16-4;27,00;27,00;EUR;Yes
Любовь, дружба, вечность Усто Мумина;978-80-908899-1-0;28,00;28,00;EUR;Yes
Зима без снега;979-10-978717-0-3;14,00;14,00;EUR;Yes
Тень великана;979-10-978717-3-4;16,00;16,00;EUR;Yes
12 или 13 историй;978-2-9586932-8-2;15,00;15,00;EUR;Yes
День без наркотиков;9789659323501;13,00;13,00;EUR;Yes
Российско-украинская война. Возвращение истории;978-965-93270-4-1;25,00;25,00;EUR;Yes
Фарфоровый граф;978-965-93270-2-7;22,00;22,00;EUR;Yes
Набоков без «Лолиты». Путеводитель c картами, картинками и загадками;978-965-93270-6-5;25,00;25,00;EUR;No
Пьесы (2 тома);978-5-6043358-0-2;50,00;50,00;EUR;Yes
Искусство войны;978-5-00195-971-7;20,00;20,00;EUR;Yes
Голоса российского сопротивления.  Последние слова российских политзаключённых;978-3-910610-27-9;16,00;16,00;EUR;Yes
Налог на родину. Очерки тучных времён;978-5-89059-170-8;18,00;18,00;EUR;Yes
Тень маятника и другие тени. Свидетельства к истории русской мысли конца XX–начала XXI века;978-5-89059-156-2;18,00;18,00;EUR;Yes
Избранное 1972–2024;978-1-998447-38-1;24,00;24,00;EUR;No
Стихотворения 1921–1952;978-5-87987-335-1;23,00;23,00;EUR;Yes
Дом на линии огня. Хроника российского вторжения в Донбасс;978-9934-9255-8-0;29,00;29,00;EUR;Yes
Храм войны. Люди и их идеи, сделавшие возможным российское вторжение в Украину;978-9934-9255-9-7;29,00;29,00;EUR;Yes
Тут недалеко;978-9934-9255-7-3;34,00;34,00;EUR;Yes
Мясорубка Мосса;978-9934-9360-0-5;30,00;30,00;EUR;Yes
Не опоздать! Беседы. Публицистика разных лет;978-5-89059-176-0;18,00;18,00;EUR;Yes
Он увидел солнце. Егор Летов и его время;978-5-905623-51-6;33,00;33,00;EUR;No
Царь собственной персоной. Как Владимир Путин обманул нас всех;978-1-965369-81-4;29,00;29,00;EUR;Yes
Ты — будущее;978-5-6044277-3-6;23,00;23,00;EUR;Yes
Натуралист;978-5-6044277-9-8;24,00;24,00;EUR;Yes
Тёмная сторона Земли. История о том, как советский народ победил Советский Союз;978-9934-9360-1-2;33,00;33,00;EUR;Yes
Благими намерениями. Русская православная Церковь и власть от Горбачёва до Путина;978-601-82257-6-5;30,00;30,00;EUR;No
Это Навальный;978-9934-38-442-4;45,00;45,00;EUR;No
Ариоль. Мама, папа, я – ослиная семья (2-е изд.);978-5-907305-86-1;12,00;12,00;EUR;Yes
Комплект «Слоны»;N/A;46,00;46,00;EUR;Yes
Шанс. Америка — Россия: окно возможностей;978-601-06-9743-0;24,00;24,00;EUR;Yes
Шанс. Америка — Россия: окно возможностей;978-601-06-9732-4;27,00;27,00;EUR;Yes
СМОНГ;978-965-93270-5-8;25,00;25,00;EUR;Yes
Поэтические тексты;978-965-93204-8-6;13,00;13,00;EUR;Yes
Пришествие поэта;978-965-93125-7-3;18,00;18,00;EUR;Yes
Город Эн;978-965-599-074-4;16,00;16,00;EUR;Yes
Заметки о композиторах;978-965-92929-3-6;20,00;20,00;EUR;Yes
Персы;978-965-93270-1-0;17,00;17,00;EUR;Yes
Революция терпения. Беларуский бриколаж;978-965-93235-4-8;21,00;21,00;EUR;Yes
Там август — месяц осенний;978-965-93235-8-6;17,00;17,00;EUR;No
О свободе. С приложением очерка «Цивилизация»;978-965-93235-5-5;17,00;17,00;EUR;Yes
Мир красивых бабочек;978-965-93235-7-9;12,00;12,00;EUR;Yes
Война. Стихотворения 2023–2024;978-965-93235-0-0;16,00;16,00;EUR;Yes
Самое избранное;978-965-93235-6-2;18,00;18,00;EUR;No
Холь;978-965-93204-7-9;15,00;15,00;EUR;Yes
Двадцать минут тишины;978-965-93235-2-4;21,00;21,00;EUR;Yes
Прогулки  с Бродским и так далее. Иосиф Бродский  в фильме Алексея Шишова и Елены Якович;978-965-93161-3-7;21,00;21,00;EUR;No
Призраки на петербургском льду. Жизнь и легенда Всеволода  Князева;978-965-93235-1-7;21,00;21,00;EUR;Yes
Путешествие в Страну Израиля в 800-м году шестого тысячелетия;978-965-93125-5-9;14,00;14,00;EUR;Yes
ПГТ Диксон. Трилогия;978-965-93235-3-1;18,00;18,00;EUR;No
Стансы в медитации;978-965-93161-6-8;20,00;20,00;EUR;Yes
Смирнов пытается вспомнить;978-965-93083-9-2;20,00;20,00;EUR;Yes
Дер Эмес фун Лина;978-965-93161-2-0;17,00;17,00;EUR;Yes
Любов в умовах турбулентності;978-617-8484-00-2;18,00;18,00;EUR;Yes
Врятувати Мактупанію;978-617-8477-33-2;14,00;14,00;EUR;No
З любов'ю, Еллі;978-617-8477-82-0;10,00;10,00;EUR;Yes
Мій пластилін;978-617-8082-03-1;7,00;7,00;EUR;Yes
Балада солдатів;978-617-8169-56-5;15,00;15,00;EUR;Yes
Вторгнення;978-617-8169-53-4;15,00;15,00;EUR;Yes
ФАРБОБАРВОКОЛЬОРИ;9786178159282;18,00;18,00;EUR;Yes
Муха-цокотуха;978-617-8252-27-4;14,00;14,00;EUR;Yes
За швидкістю літа;978-617-8082-63-5;14,00;14,00;EUR;Yes
Сім художників Закарпаття єврейського походження ХХ століття;978-617-8252-56-4;16,00;16,00;EUR;Yes
Злата і фазан;978-617-8252-85-4;18,00;18,00;EUR;Yes
Котигорошко;978-617-8477-72-1;18,00;18,00;EUR;Yes
Зовсім невигадані історії…;9786178159503;18,00;18,00;EUR;Yes
Симплициссимус;978-5-6048184-4-2;19,00;19,00;EUR;Yes
Отель Финна;978-5-605-22481-5;12,00;12,00;EUR;Yes
Демонический экран (обл. Голем) (2-е изд., доп.);978-5-905712-50-0;19,00;19,00;EUR;No
Похождения сценариста в Голливуде;978-5-905712-59-3;20,00;20,00;EUR;No
В смирительной рубашке;978-5-87987-278-1;22,00;22,00;EUR;Yes
Стихи о смерти;978-5-91967-042-1;20,00;20,00;EUR;No
Империализм в XXI веке;978-5-6043030-7-8;16,00;16,00;EUR;No
Правда не нуждается в союзниках;978-5-903974-08-5;15,00;15,00;EUR;No
Истинные происшествия моей жизни;978-5-6049914-3-5;18,00;18,00;EUR;No
Скрытая перспектива. Иллюстрированные воспоминания легендарного фотографа о Второй мировой войне (2-е изд., исправ.);978-5-903974-20-7;18,00;18,00;EUR;No
В итоге… быть странником. Толстой, Алексиевич, Бадью;978-5-6048802-4-1;10,00;10,00;EUR;Yes
Галиция. Путешествие в исчезнувший мир Восточной Галиции и Буковины;978-5-6049756-2-6;20,00;20,00;EUR;No
Собрание сочинений в шести томах. Т. IV. Стиховедение;978-5-4448-2580-8;36,00;36,00;EUR;Yes
Собрание сочинений в шести томах. Т. VI. Наука и просветительство;978-5-4448-1986-9;36,00;36,00;EUR;Yes
Собрание сочинений в шести томах. Т. V. Переводы;978-5-4448-1896-1;36,00;36,00;EUR;Yes
Метаморфозы жира. История ожирения от Средневековья до XX века;978-5-4448-2584-6;20,00;20,00;EUR;Yes
Философия заботы;978-5-4448-2585-3;16,00;16,00;EUR;No
Русская дочь английского писателя. Сербские притчи;978-5-4448-2517-4;21,00;21,00;EUR;Yes
Альманах Гурманов (3-е изд.);978-5-4448-2610-2;25,00;25,00;EUR;Yes
Триалоги. Импровизации на свободные темы;978-5-4448-2603-4;22,00;22,00;EUR;Yes
Турецкие войны России. Царская армия и балканские народы в XIX столетии;978-5-4448-2606-5;27,00;27,00;EUR;Yes
История жены (3-е изд.);978-5-4448-2613-3;23,00;23,00;EUR;Yes
История тела. Т. III. Перемена взгляда: XX век;978-5-4448-2604-1;26,00;26,00;EUR;Yes
История одиночества (2-е изд.);978-5-4448-2553-2;20,00;20,00;EUR;Yes
Насилие. Микросоциологическая теория;978-5-4448-2594-5;30,00;30,00;EUR;Yes
Хочу быть свободной;978-5-907183-51-3;18,00;18,00;EUR;Yes
Город-Порт. Санкт-Петербург. Век XVIII — начало XX;978-5-903974-16-0;78,00;78,00;EUR;Yes
Голоса за дверью;978-5-91967-051-3;25,00;25,00;EUR;Yes
Об антропоцене;978-5-907183-09-4;12,00;12,00;EUR;Yes
Остров на Луне;978-5-605-22482-2;12,00;12,00;EUR;Yes
Джилл Валентайн должна умереть;978-5-605-22483-9;15,00;15,00;EUR;Yes
Восточные миниатюры;978-5-9904994-8-5;8,00;8,00;EUR;Yes
Военный дневник;978-5-6048184-0-4;15,00;15,00;EUR;Yes
Небесная твердь;978-5-9906440-9-0;13,00;13,00;EUR;Yes
Виньетки. Миниатюрный дневник причуд и сантиментов;978-5-605-22480-8;14,00;14,00;EUR;No
Этого Никто Роза;978-5-6049756-9-5;17,00;17,00;EUR;Yes
Спустя десять лет;978-5-6048802-3-4;10,50;10,50;EUR;Yes
Красная птица. Детская литература Японии;978-5-6045343-9-7;28,00;28,00;EUR;Yes
Жан Ренуар;978-5-905712-49-4;29,00;29,00;EUR;Yes
Еврейские фактазии;978-5-6048974-9-2;14,00;14,00;EUR;No
Сказки прокудные, да россказни чертознатные;978-5-605-15253-8;33,00;33,00;EUR;Yes
Возвращение в Едгин двадцать лет спустя;978-5-605-23951-2;19,00;19,00;EUR;Yes
Кондор. Антология поэзии раннего немецкого экспрессионизма;978-5-6048184-3-5;14,00;14,00;EUR;Yes
Транс-Атлантик;978-5-6043126-9-8;12,00;12,00;EUR;Yes
Семейство Шроффенштайн;978-5-6048184-6-6;16,00;16,00;EUR;Yes
Кураш;978-5-605-23950-5;17,00;17,00;EUR;Yes
Жернов и общественные процессы;978-5-605-22484-6;16,00;16,00;EUR;Yes
Фотогения;N/A;16,00;16,00;EUR;Yes
Мечтатели;978-5-6045872-3-2;14,00;14,00;EUR;Yes
Дневник 1914–1916;978-5-6049756-8-8;20,00;20,00;EUR;Yes
Диалоги. Интервью и беседы (1951–1998);978-5-903974-07-8;12,00;12,00;EUR;No
Детство: биография места;978-5-6046984-7-1;32,00;32,00;EUR;Yes
Тысячеликая героиня. Женский архетип в мифологии и литературе;978-5-9614-8653-7;18,00;18,00;EUR;Yes
Последние дни человечества;978-5-6048802-1-0;9,00;9,00;EUR;Yes
Проклятый Петербург;978-5-605-15254-5;18,00;18,00;EUR;Yes
Что нам с этим делать?;978-9934-9315-0-5;18,00;18,00;EUR;Yes
Троян. ГУЛАГ нашего времени;978-80-69096-32-5;26,00;26,00;EUR;Yes
Лучший возраст для смерти;978-80-69096-26-4;17,00;17,00;EUR;Yes
Северный маршрут. Истории украинских беженцев, записанные волонтёрами. 2022–2024;978-80-69096-29-5;18,00;18,00;EUR;No
Истории любви. Чешские романы;978-80-69096-41-7;22,00;22,00;EUR;Yes
Странники и пришельцы;978-80-69096-47-9;24,00;24,00;EUR;Yes
Просто классика! Антиучебник по литературе;978-80-69096-50-9;24,00;24,00;EUR;Yes
Пушкин. Книга про всё;978-80-69096-53-0;24,00;24,00;EUR;Yes
The Language of War;978-0-241-69084-0;17,00;17,00;EUR;Yes
Мотанка;978-617-17-0638-5;15,00;15,00;EUR;No
Війна з тильного боку;978-617-7807-15-4;12,50;12,50;EUR;Yes
Словник війни;978-966-982-909-2;11,00;11,00;EUR;Yes
Мистецький злодій;978-617-522-253-9;16,50;16,50;EUR;Yes
Орландо;978-617-522-258-4;14,00;14,00;EUR;Yes
Війни, які я бачила;978-617-522-252-2;15,00;15,00;EUR;Yes
Сум'яття вихованця Терлеса;978-617-522-237-9;13,50;13,50;EUR;Yes
Дім без господаря;978-617-522-256-0;13,00;13,00;EUR;No
De Profundis;978-617-522-556-1;14,00;14,00;EUR;Yes
Екзотика і хитрощі. Добірка української мандрівної прози;978-617-522-542-4;16,00;16,00;EUR;Yes
Гіменей розкутий. Добірка української еротичної прози;978-617-522-264-5;16,50;16,50;EUR;Yes
Над Чорним морем;978-617-522-568-4;14,00;14,00;EUR;Yes
Сонце сходить. Вибрані твори;978-617-522-265-2;14,00;14,00;EUR;Yes
Я життя поцілую просто в губи;978-617-522-231-7;13,00;13,00;EUR;Yes
Фальшива вага;978-617-522-216-4;14,50;14,50;EUR;Yes
А все-таки прийди! Вибрана проза;9786175222622;12,50;12,50;EUR;Yes
Фіолетова тінь. Добірка української містичної прози;978-617-522-154-9;14,50;14,50;EUR;Yes
Листи з Криму;978-617-522-243-0;13,50;13,50;EUR;Yes
Хмари;978-617-522-162-4;12,00;12,00;EUR;Yes
Червона кімната;978-617-522-153-2;13,50;13,50;EUR;No
І що з цього хлопця буде? або Щось із книжками;978-617-522-538-7;12,00;12,00;EUR;Yes
Нікуди не дінешся. Оповідання;978-617-522-165-5;12,50;12,50;EUR;Yes
Як Україна втрачала Донбас;978-617-95046-0-0;17,00;17,00;EUR;Yes
Шлях до несвободи. Росія, Європа, Америка;978-617-95022-1-7;22,00;22,00;EUR;Yes
«Найстрашніші дні мого життя». Репортажі The Reckoning Project;978-617-95336-0-0;16,50;16,50;EUR;Yes
Схід українського сонця. Історії Донеччини та Луганщини початку XXI століття;978-617-95188-8-1;15,50;15,50;EUR;Yes
Про свободу;978-617-95336-9-3;19,00;19,00;EUR;Yes
Бавдоліно;978-966-03-8150-6;19,00;19,00;EUR;Yes
Я, Богдан;978-617-551-495-5;23,00;23,00;EUR;Yes
Моє каяття;978-966-03-7824-7;24,00;24,00;EUR;Yes
Ім’я рози;978-966-03-9651-7;19,00;19,00;EUR;Yes
Маятник Фуко;978-966-03-8207-7;21,00;21,00;EUR;Yes
Я покажу тобі Ріо;978-617-522-279-9;14,00;14,00;EUR;Yes
Українські палаци. Відновлення історії. Золота доба;978-617-522-175-4;14,50;14,50;EUR;Yes
Сатанинські вірші;978-617-522-183-9;18,50;18,50;EUR;Yes
Симфонія вуглецю. Вуглець і еволюція майже всього на світі;978-617-522-074-0;20,00;20,00;EUR;Yes
Звідси ніхто не вийде живим;978-617-522-027-6;16,50;16,50;EUR;Yes
Живе кіно і техніка його виробництва;978-617-09-6759-6;15,50;15,50;EUR;Yes
Авангардне мистецтво в Україні. 1910–1930: пам’ять, за яку варто боротися;978-617-522-004-7;17,50;17,50;EUR;Yes
Наша столітня. Короткі нариси про довгу війну;978-617-09-8110-3;14,00;14,00;EUR;No
Про таке не говорять;978-617-569-647-7;15,50;15,50;EUR;Yes
Паскалівські медитації;978-617-569-628-6;19,00;19,00;EUR;Yes
Лабіринти американського постмодернізму. Том 2;978-617-569-566-1;14,00;14,00;EUR;Yes
Тиша;978-617-569-636-1;13,00;13,00;EUR;Yes
Кривавий меридіан, або Вечірня заграва на заході;978-617-569-613-2;16,50;16,50;EUR;Yes
Пригоди філософських ідей Західного світу (від давнини до сучасності);978-617-569-488-6;14,00;14,00;EUR;Yes
Ранкова зоря. Думки про моральні пересуди;978-617-569-382-7;20,00;20,00;EUR;Yes
Пригоди української літератури (від романтизму до постмодернізму);978-617-569-634-7;18,00;18,00;EUR;Yes
У напрямку до Гоголя. Студії різних літ;978-617-569-234-9;9,00;9,00;EUR;Yes
Проповіді;978-617-569-536-4;19,00;19,00;EUR;Yes
Наші королі — Reges Nostri. Володарі та династії в історії України (1340–1795);978-617-569-598-2;23,00;23,00;EUR;Yes
Україна та Європа. Нарис історії від найдавніших часів до початку ХІХ ст.;978-617-569-665-1;26,00;26,00;EUR;Yes
Писати війну;978-617-569-622-4;14,50;14,50;EUR;Yes
Одержимість;978-617-569-685-9;20,00;20,00;EUR;No
Баришник дур‑зіллям;978-617-569-575-3;21,00;21,00;EUR;Yes
Як її не любити;978-617-569-658-3;14,50;14,50;EUR;Yes
Чуже – Інакше – Своє;978-617-569-476-3;9,00;9,00;EUR;Yes
Так мовив Заратустра;978-617-569-714-6;16,00;16,00;EUR;No
Критика сили судження;978-617-569-541-8;21,00;21,00;EUR;Yes
Українська демонологія;978-617-95149-4-4;19,00;19,00;EUR;Yes
